;country;region;gdp;life;pop;urban
1;Algeria;Africa;7300,399902;72,31666565;34172236;64,93333435
2;Benin;Africa;1338,800049;54,73333359;8237634;41
3;Botswana;Africa;12307,40039;52,25;1941233;59,25
4;Burkina Faso;Africa;1063,400024;53,78333282;15308383;23,58333397
5;Burundi;Africa;349,2000122;48,86666489;7821783;10,25
6;Cameroon;Africa;1986,800049;50,11666489;18564118;56,36666489
7;Cape Verde;Africa;3052,199951;73,33333588;484867;59,28333282
8;Central African Rep;Africa;677;45,93333435;4203917;38,46666718
9;Chad;Africa;1266,199951;48,56666565;10509983;26,39999962
10;Comoros;Africa;1099;59,78333282;688300;28
11;Congo;Africa;3628;56,01666641;3785517;61,1333313
12;Congo (Dem Rep);Africa;279,7999878;47,51666641;61654348;33,6333313
13;C�te d'Ivoire;Africa;1539,199951;53,04999924;18844750;48,66666412
14;Djibouti;Africa;1972,199951;56,59999847;848000;76,09999847
15;Egypt;Africa;4754,399902;72,33333588;77645648;43,18333435
16;Equatorial Guinea;Africa;27645,80078;50,06666565;653533;39,26666641
17;Eritrea;Africa;579,5999756;60,01666641;4871634;20,45000076
18;Ethiopia;Africa;741,4000244;57,04999924;78593232;16,28333282
19;Gabon;Africa;13183,2002;61,15000153;1437467;84,8833313
20;Gambia;Africa;1218,400024;57,3666687;1614767;56,04999924
21;Ghana;Africa;1303;62,51666641;23000534;49,6333313
22;Guinea;Africa;957,5999756;52,41666794;9486467;34,16666794
23;Guinea-Bissau;Africa;967,5999756;46,8666687;1440083;29,76666641
24;Kenya;Africa;1405,400024;54,81666565;38011832;21,45000076
25;Lesotho;Africa;1284,400024;45,84999847;2117567;25,06666565
26;Liberia;Africa;345;54,23333359;3576984;46,91666794
27;Libya;Africa;14497,7998;74,0166626;6075651;77,43333435
28;Madagascar;Africa;919,7999878;65,4833374;19279600;29,31666565
29;Malawi;Africa;660,4000244;51,31666565;13825916;18,54999924
30;Mali;Africa;1032,800049;50;14254967;33,93333435
31;Mauritania;Africa;1794,199951;57,70000076;3253767;40,8666687
32;Mauritius;Africa;10950,2002;72,8666687;1278950;41,98333359
33;Morocco;Africa;3802,800049;71,15000153;31168868;56,70000076
34;Mozambique;Africa;738,5999756;48,86666489;22075768;36,46666718
35;Namibia;Africa;5740,200195;60,58333206;2180583;36,51666641
36;Niger;Africa;620,7999878;53,03333282;14222333;16,85000038
37;Nigeria;Africa;1870;50,23333359;148948448;48
38;Rwanda;Africa;954;53,84999847;9882167;18,18333244
39;Sao Tome/Principe;Africa;1544,400024;63,83333206;158800;60,16666794
40;Senegal;Africa;1635,599976;58,18333435;11640634;41,71666718
41;Seychelles;Africa;18625,80078;72,98332977;85167;54,06666565
42;Sierra Leone;Africa;698,2000122;46;5529667;37,56666565
43;Somalia;Africa;NA;50,3666687;8835650;36,29999924
44;South Africa;Africa;9175,400391;51,43333435;49028316;60,48333359
45;Sudan*;Africa;1838,800049;60,34999847;40933000;38,28333282
46;Swaziland;Africa;4468,799805;47,1166687;1143367;21,60000038
47;Tanzania;Africa;1151,800049;55,40000153;41742736;25,26666641
48;Togo;Africa;775;55,8666687;5716200;41,65000153
49;Tunisia;Africa;7032;73,91666412;10192267;66,30000305
50;Uganda;Africa;1010,599976;52,04999924;30878900;12,89999962
51;Zambia;Africa;1211,599976;46,59999847;12243300;35,31666565
52;Zimbabwe;Africa;NA;46,75;12513100;37,06666565
53;Antigua and Barbuda;Americas;17676,40039;72,16666412;86367;30,46666718
54;Argentina;Americas;12274;75,28333282;39543736;91,90000153
55;Bahamas;Americas;NA;74,59999847;331233;83,59999847
56;Barbados;Americas;19189;76,30000305;271917;42,90000153
57;Belize;Americas;6208,799805;75,21666718;296200;51,20000076
58;Bolivia;Americas;3873;65,53333282;9539767;65,3833313
