;country;region;gdp;literacy;co2;gini
1;Algeria;Africa;7300,399902;72,59999847;15;NA
2;Benin;Africa;1338,800049;41,70000076;1,200000048;NA
3;Botswana;Africa;12307,40039;84,09999847;9,199999809;NA
4;Burkina Faso;Africa;1063,400024;23,60000038;0,200000003;NA
5;Burundi;Africa;349,2000122;66,59999847;0,100000001;33,29999924
6;Cameroon;Africa;1986,800049;NA;0,75;NA
7;Cape Verde;Africa;3052,199951;84,80000305;2,150000095;NA
8;Central African Rep;Africa;677;55,20000076;0,200000003;NA
9;Chad;Africa;1266,199951;33,59999847;0,100000001;NA
10;Comoros;Africa;1099;74,19999695;0,400000006;NA
11;Congo;Africa;3628;NA;1,549999952;47,29999924
12;Congo (Dem Rep);Africa;279,7999878;66,80000305;0,100000001;44,40000153
13;C�te d'Ivoire;Africa;1539,199951;55,29999924;1,450000048;46,09999847
14;Djibouti;Africa;1972,199951;NA;2,200000048;NA
15;Egypt;Africa;4754,399902;68,90000153;8,449999809;32,09999847
16;Equatorial Guinea;Africa;27645,80078;93,30000305;32,55000305;NA
17;Eritrea;Africa;579,5999756;66,59999847;0,5;NA
18;Ethiopia;Africa;741,4000244;29,79999924;0,300000012;29,79999924
19;Gabon;Africa;13183,2002;87,69999695;5,550000191;41,5
20;Gambia;Africa;1218,400024;46,5;0,699999988;NA
21;Ghana;Africa;1303;66,59999847;1,350000024;42,79999924
22;Guinea;Africa;957,5999756;39,5;0,550000012;39,40000153
23;Guinea-Bissau;Africa;967,5999756;52,20000076;0,600000024;NA
24;Kenya;Africa;1405,400024;87;1,150000095;47,70000076
25;Lesotho;Africa;1284,400024;89,69999695;NA;NA
26;Liberia;Africa;345;59,09999847;0,800000012;52,59999847
27;Libya;Africa;14497,7998;88,90000153;33,84999847;NA
28;Madagascar;Africa;919,7999878;64,5;0,550000012;47,20000076
29;Malawi;Africa;660,4000244;73,69999695;0,300000012;NA
30;Mali;Africa;1032,800049;26,20000076;0,200000003;39
31;Mauritania;Africa;1794,199951;57,5;2;NA
32;Mauritius;Africa;10950,2002;87,90000153;10,70000076;NA
33;Morocco;Africa;3802,800049;55,59999847;5,550000191;40,90000153
34;Mozambique;Africa;738,5999756;55,09999847;0,350000024;45,59999847
35;Namibia;Africa;5740,200195;88,5;5;NA
36;Niger;Africa;620,7999878;28,70000076;0,25;34
37;Nigeria;Africa;1870;60,79999924;2,75;NA
38;Rwanda;Africa;954;70,69999695;0,300000012;53,09999847
39;Sao Tome/Principe;Africa;1544,400024;88,80000305;2,450000048;NA
40;Senegal;Africa;1635,599976;45,80000305;1,5;39,20000076
41;Seychelles;Africa;18625,80078;91,80000305;30,79999924;19
42;Sierra Leone;Africa;698,2000122;40,90000153;0,649999976;NA
43;Somalia;Africa;NA;NA;0,100000001;NA
44;South Africa;Africa;9175,400391;NA;31,39999962;NA
45;Sudan*;Africa;1838,800049;70,19999695;1,100000024;NA
46;Swaziland;Africa;4468,799805;86,90000153;3,299999952;NA
47;Tanzania;Africa;1151,800049;72,90000153;0,5;37,59999847
48;Togo;Africa;775;56,90000153;0,75;34,40000153
49;Tunisia;Africa;7032;77,59999847;8,300000191;NA
50;Uganda;Africa;1010,599976;71,40000153;0,300000012;44,29999924
51;Zambia;Africa;1211,599976;70,90000153;0,800000012;NA
52;Zimbabwe;Africa;NA;91,90000153;3,150000095;NA
53;Antigua and Barbuda;Americas;17676,40039;99;18,29999924;NA
54;Argentina;Americas;12274;97,69999695;15,64999962;45,79999924
55;Bahamas;Americas;NA;NA;23,95000076;NA
56;Barbados;Americas;19189;NA;16,64999962;NA
57;Belize;Americas;6208,799805;NA;10,75;NA
58;Bolivia;Americas;3873;90,69999695;4,150000095;57,29999924
59;Brazil;Americas;9081,200195;89,80000305;6,850000381;53,90000153
60;Canada;Americas;35444;NA;62,44999695;NA
61;Chile;Americas;12852,59961;98,59999847;13,39999962;22,60000038
62;Colombia;Americas;7877;92,92500305;4,949999809;58,5
63;Costa Rica;Americas;9870;96,09999847;6,349999905;50,29999924
64;Cuba;Americas;NA;99,80000305;8,850000381;NA
65;Dominica;Americas;7800,399902;NA;6,25;NA
66;Dominican Republic;Americas;7071,200195;NA;7,75;48,40000153
67;Ecuador;Americas;7170;84,19999695;8,649999619;49
68;El Salvador;Americas;6005,600098;83,90000153;3,5;46,90000153
69;Grenada;Americas;7938,799805;NA;8,299999237;NA
70;Guatemala;Americas;4245,600098;74,5;3,349999905;53,70000076
71;Guyana;Americas;2731;NA;7,449999809;NA
72;Haiti;Americas;1031,199951;48,70000076;0,699999988;NA
73;Honduras;Americas;3472,399902;NA;4;57,70000076
74;Jamaica;Americas;7115;86,40000153;15,19999981;NA
75;Mexico;Americas;12979,40039;92,40000153;15,14999962;51,70000076
76;Nicaragua;Americas;2421,199951;78;2,849999905;52,29999924
77;Panama;Americas;10682,40039;93,59999847;7;52,29999924
78;Paraguay;Americas;4104,600098;NA;2,400000095;52
79;Peru;Americas;7198;88,30000305;5,050000191;48
80;Saint Kitts/Nevis;Americas;13702,59961;NA;10,05000019;NA
81;Saint Lucia;Americas;8970;NA;8,550000191;NA
82;St Vincent/Grenadines;Americas;8063,600098;NA;6,050000191;NA
83;Suriname;Americas;6441,25;94,59999847;19,45000076;NA
84;Trinidad/Tobago;Americas;22696,40039;98,69999695;89,25;NA
85;United States;Americas;42895;NA;70,55000305;NA
